"Dataset S27. Molecular rates, environmental predictors, and life-history traits of species based on mitochondrial genes used in this study.",,,,,,,,,,,,,,,,,,,,,,,,
GenBank,ThermoMode,Group,Class,Order,Family,Species,Clade,dN (substitution/site/year),dS (substitution/site/year),dNdS,Clade.Age (Ma),Tip.Age (Ma),Mid Latitude (°),Mean Annual Temperature (℃),Habitat,BodyMass (g),Longevity (year),MaturityAge (year),Fecundity (Individual/year),Migration,Ref.BodyMass,Ref.Fecundity,Ref.MaturityAge,Ref.Longevity
MF101788.1,Ectotherms,Fishes,Actinopterygii,Acipenseriformes,Acipenseridae,Scaphirhynchus_platorynchus,Fishes_Node2543,1.59E-10,4.32E-09,0.04,120.80,16.17,40.27,11.28,Freshwater,6147.4,43.0,5.0,416849.0,NA,FishBase,Relationships between genetic variability and life_history features of bony fishes,FishBase,FishBase
KP997216.1,Ectotherms,Fishes,Actinopterygii,Acipenseriformes,Acipenseridae,Acipenser_sturio,Fishes_Node2543,2.08E-10,5.57E-09,0.04,120.80,3.91,51.15,11.57,Marine&Freshwater,1094864.3,6.8,9.2,433333.0,NA,FishBase,FishBase,FishBase,FishBase
KU985073.1,Ectotherms,Fishes,Actinopterygii,Acipenseriformes,Acipenseridae,Acipenser_oxyrinchus,Fishes_Node2543,3.46E-10,6.56E-09,0.05,120.80,3.91,40.43,12.29,Marine&Freshwater,333362.0,60.0,15.1,1030000.0,NA,FishBase,FishBase,FishBase,FishBase
MK078264.1,Ectotherms,Fishes,Actinopterygii,Acipenseriformes,Acipenseridae,Huso_dauricus,Fishes_Node2543,1.25E-10,4.41E-09,0.03,120.80,2.61,48.83,3.99,Marine&Freshwater,1696103.9,80.0,16.0,4000000.0,NA,FishBase,The Fishes of Heilongjiang,The Fishes of Heilongjiang,FishBase
KM591217.1,Ectotherms,Fishes,Actinopterygii,Acipenseriformes,Acipenseridae,Acipenser_medirostris,Fishes_Node2543,3.08E-10,7.45E-09,0.04,120.80,2.61,50.09,8.93,Marine&Freshwater,116720.2,80.0,17.0,140000.0,NA,FishBase,https://www.scwa2.com/documents/hcp/appendix/Green_Sturgeon.pdf,https://www.scwa2.com/documents/hcp/appendix/Green_Sturgeon.pdf,FishBase
NC_004743.1,Ectotherms,Fishes,Actinopterygii,Acipenseriformes,Acipenseridae,Acipenser_transmontanus,Fishes_Node2543,1.73E-10,3.55E-09,0.05,120.80,1.34,44.36,11.14,Marine&Freshwater,2287116.4,104.0,11.0,398600.0,NA,FishBase,FishBase,FishBase,FishBase
MH973731.1,Ectotherms,Fishes,Actinopterygii,Acipenseriformes,Acipenseridae,Acipenser_schrenckii,Fishes_Node2543,1.04E-10,4.24E-09,0.02,120.80,1.34,48.10,2.62,Freshwater,419746.5,65.0,8.8,2800000.0,NA,FishBase,The Fishes of Heilongjiang,FishBase,FishBase
KJ174513.1,Ectotherms,Fishes,Actinopterygii,Acipenseriformes,Acipenseridae,Acipenser_sinensis,Fishes_Node2543,3.89E-10,1.02E-08,0.04,120.80,3.73,23.72,22.71,Marine&Freshwater,600000.0,13.0,11.0,306000.0,NA,FishBase,FishBase,FishBase,FishBase
AY442351.1,Ectotherms,Fishes,Actinopterygii,Acipenseriformes,Acipenseridae,Huso_huso,Fishes_Node2543,2.16E-10,4.65E-09,0.05,120.80,5.20,42.07,15.33,Marine&Freshwater,3428960.3,118.0,11.8,360000.0,NA,FishBase,FishBase,FishBase,FishBase
MN746333.1,Ectotherms,Fishes,Actinopterygii,Acipenseriformes,Acipenseridae,Pseudoscaphirhynchus_kaufmanni,Fishes_Node2543,2.44E-10,9.59E-09,0.03,120.80,1.86,44.33,12.00,Freshwater,2000.0,14.0,6.0,36500.0,NA,FishBase,https://fish-of-the-world.fandom.com/wiki/Pseudoscaphirhynchus_kaufmanni,FishBase,https://fish-of-the-world.fandom.com/wiki/Pseudoscaphirhynchus_kaufmanni
NC_005795.1,Ectotherms,Fishes,Actinopterygii,Acipenseriformes,Acipenseridae,Acipenser_stellatus,Fishes_Node2543,3.22E-10,6.40E-09,0.05,120.80,1.86,43.41,14.17,Marine&Freshwater,34476.4,27.0,6.8,20000.0,NA,FishBase,FishBase,FishBase,FishBase
KU321568.1,Ectotherms,Fishes,Actinopterygii,Acipenseriformes,Acipenseridae,Acipenser_nudiventris,Fishes_Node2543,1.78E-10,5.51E-09,0.03,120.80,3.09,44.97,13.46,Marine&Freshwater,145014.4,30.0,9.0,575966.0,NA,FishBase,The Fishes of Xinjiang,FishBase,http://resp.llas.ac.cn/C666/handle/2XK7JSWQ/274617
KF153104.1,Ectotherms,Fishes,Actinopterygii,Acipenseriformes,Acipenseridae,Acipenser_ruthenus,Fishes_Node2543,1.64E-10,8.91E-09,0.02,120.80,3.09,52.81,6.14,Freshwater,19461.0,69.7,4.2,11000.0,NA,FishBase,FishBase,FishBase,FishBase
KU985082.2,Ectotherms,Fishes,Actinopterygii,Acipenseriformes,Acipenseridae,Acipenser_fulvescens,Fishes_Node2543,2.46E-10,9.44E-09,0.03,120.80,2.50,45.20,6.51,Freshwater,409864.5,152.0,18.0,101836.0,NA,FishBase,FishBase,FishBase,FishBase
KX817302.2,Ectotherms,Fishes,Actinopterygii,Acipenseriformes,Acipenseridae,Acipenser_brevirostrum,Fishes_Node2543,1.41E-10,4.52E-09,0.03,120.80,2.08,39.01,14.23,Marine&Freshwater,24007.7,67.0,7.7,48000.0,NA,FishBase,FishBase,FishBase,AnAge
MW856903.1,Ectotherms,Fishes,Actinopterygii,Acipenseriformes,Acipenseridae,Acipenser_baerii,Fishes_Node2543,1.19E-10,1.90E-09,0.06,120.80,2.08,53.54,9.15,Freshwater,195030.2,63.0,12.5,92062.0,NA,FishBase,FishBase,FishBase,FishBase
KJ789859.1,Ectotherms,Fishes,Actinopterygii,Acipenseriformes,Acipenseridae,Acipenser_gueldenstaedtii,Fishes_Node2543,6.44E-10,3.68E-09,0.18,120.80,2.08,44.04,14.25,Marine&Freshwater,79286.4,46.0,10.0,38000.0,NA,FishBase,FishBase,FishBase,FishBase
DQ536423.1,Ectotherms,Fishes,Actinopterygii,Lepisosteiformes,Lepisosteidae,Lepisosteus_osseus,Fishes_Node2563,1.28E-10,3.74E-09,0.03,93.90,4.98,37.74,13.55,Freshwater,25986.9,36.0,6.0,77000.0,NA,FishBase,Animal Diversity Web,worldspecies.org,worldspecies.org
AB042861.1,Ectotherms,Fishes,Actinopterygii,Lepisosteiformes,Lepisosteidae,Lepisosteus_oculatus,Fishes_Node2563,1.67E-10,3.58E-09,0.05,93.90,4.98,39.00,11.69,Freshwater,31909.8,18.0,1.7,1772.0,NA,FishBase,FishBase,FishBase,FishBase
KJ531198.1,Ectotherms,Fishes,Actinopterygii,Lepisosteiformes,Lepisosteidae,Atractosteus_tropicus,Fishes_Node2563,1.54E-10,4.00E-09,0.04,93.90,8.89,14.38,23.74,Freshwater,9589.8,25.0,2.0,99087.0,NA,FishBase,"Reproducción y alimentación del gaspar Atractosteus tropicus (Pisces : Lepisosteidae) en el Refugio Nacional de Vida Silvestre Ca_o Negro, Costa Rica""",https://thenode.biologists.com/a-day-in-the-life-of-a-gar-lab/lablife/,https://aquariumapi.com/wp/tropical-gar-care-atractosteus-tropicus/
NC_008131.1,Ectotherms,Fishes,Actinopterygii,Lepisosteiformes,Lepisosteidae,Atractosteus_spatula,Fishes_Node2563,1.03E-10,2.02E-09,0.05,93.90,4.55,27.62,21.43,Freshwater,273228.4,95.0,14.0,157291.0,NA,FishBase,http://txstate.fishesoftexas.org/atractosteus%20spatula.htm,http://txstate.fishesoftexas.org/atractosteus%20spatula.htm,https://tpwd.texas.gov/huntwild/wild/species/alg/
KY581571.1,Ectotherms,Fishes,Actinopterygii,Lepisosteiformes,Lepisosteidae,Atractosteus_tristoechus,Fishes_Node2563,2.47E-10,1.95E-09,0.13,93.90,4.55,22.50,25.08,Freshwater,61248.8,12.0,4.0,140000.0,NA,FishBase,"First finding of gar Atractosteus sp.(Actinopterygii, Lepisosteiformes, Lepisosteidae) in the Caspian Sea near the coast of Turkmenistan",Crecimiento alométrico en larvas de manjuarí (Atractosteus tristoechus),Aquariumwiki.com
AP004808.1,Ectotherms,Fishes,Actinopterygii,Elopiformes,Megalopidae,Megalops_atlanticus,Fishes_Node2569,1.85E-10,6.75E-09,0.03,126.00,24.62,21.08,23.54,Marine&Freshwater,102319.5,55.0,7.0,12200000.0,NA,FishBase,FishBase,FishBase,FishBase
AB051110.1,Ectotherms,Fishes,Actinopterygii,Elopiformes,Megalopidae,Megalops_cyprinoides,Fishes_Node2569,1.31E-10,6.57E-09,0.02,126.00,24.62,12.65,26.54,Marine&Freshwater,44383.2,44.0,4.0,219754.5,NA,FishBase,,,FishBase
AB051070.1,Ectotherms,Fishes,Actinopterygii,Elopiformes,Elopidae,Elops_hawaiensis,Fishes_Node2569,1.75E-10,4.91E-09,0.04,126.00,1.89,13.28,25.56,Marine&Freshwater,8156.2,18.7,3.6,140302.4,NA,FishBase,,,
AP004807.1,Ectotherms,Fishes,Actinopterygii,Elopiformes,Elopidae,Elops_saurus,Fishes_Node2569,1.13E-10,5.76E-09,0.02,126.00,1.89,10.70,28.16,Marine,6274.8,6.0,2.0,519400.0,NA,FishBase,"Aspectos biológicos y ecológicos del macabí Elops saurus Linnaeus (Pisces: Elopidae) en la Cienaga Grande de Santa Marta y costa adyacente, Caribe Colombiano",FishBase,https://sta.uwi.edu/fst/lifesciences/sites/default/files/lifesciences/documents/ogatt/Elops_saurus%20-%20Ladyfish.pdf
NC_005796.1,Ectotherms,Fishes,Actinopterygii,Albuliformes,Albulidae,Pterothrissus_gissu,Fishes_Node2573,6.72E-11,4.84E-09,0.01,83.35,83.35,32.72,4.00,Marine,1640.1,12.3,2.3,420000.0,NA,FishBase,Batch fecundity and gonadal maturation of deepsea bonefish Pterothrissus gissu in Sagami Bay,,
AP002974.1,Ectotherms,Fishes,Actinopterygii,Notacanthiformes,Halosauridae,Aldrovandia_affinis,Fishes_Node2573,9.82E-11,7.94E-09,0.01,83.35,19.15,24.17,4.00,Marine,1046.8,12.9,2.4,57052.0,NA,FishBase,Reproduction in the North Atlantic oceanic ichthyofauna and the relationship between fecundity and species' sizes,,
NC_035885.1,Ectotherms,Fishes,Actinopterygii,Notacanthiformes,Halosauridae,Halosauropsis_macrochir,Fishes_Node2573,1.38E-10,7.97E-09,0.02,83.35,16.47,26.21,4.00,Marine,3267.8,36.0,3.1,197925.0,NA,FishBase,Reproduction in the North Atlantic oceanic ichthyofauna and the relationship between fecundity and species' sizes,,"Distribution, Population Biology, and Trophic Ecology of the Deepwater Demersal Fish Halosauropsis macrochir (Pisces: Halosauridae) on the Mid-Atlantic Ridge"
AP002975.2,Ectotherms,Fishes,Actinopterygii,Notacanthiformes,Notacanthidae,Notacanthus_chemnitzii,Fishes_Node2573,3.91E-10,2.15E-08,0.02,83.35,6.92,40.52,4.00,Marine,4171.4,30.0,3.6,262144.0,NA,FishBase,Reproduction in the North Atlantic oceanic ichthyofauna and the relationship between fecundity and species' sizes,,"First Data on the Age, Growth Processes, and Otoliths
of Snub-Nosed Spiny Eel Notacanthus chemnitzii (Notacanthidae)"
MT027058.1,Ectotherms,Fishes,Actinopterygii,Notacanthiformes,Notacanthidae,Notacanthus_bonaparte,Fishes_Node2573,2.67E-10,2.56E-08,0.01,83.35,6.92,40.10,4.00,Marine,25.6,9.0,1.6,3870.0,NA,FishBase,"Reproductive traits (Fecundity, egg diameter, parental care) of marine European fish",,
MK189460.1,Ectotherms,Fishes,Actinopterygii,Anguilliformes,Synaphobranchidae,Dysomma_anguillare,Fishes_Node2578,1.34E-10,6.25E-09,0.02,30.85,30.85,15.01,25.01,Marine,181.8,27.9,2.8,26107.5,NA,FishBase,,,
NC_013605.1,Ectotherms,Fishes,Actinopterygii,Anguilliformes,Synaphobranchidae,Simenchelys_parasitica,Fishes_Node2578,1.89E-10,8.43E-09,0.02,30.85,24.48,29.13,4.00,Marine,372.5,27.6,3.1,35989.1,NA,FishBase,,,
AP002977.2,Ectotherms,Fishes,Actinopterygii,Anguilliformes,Synaphobranchidae,Synaphobranchus_kaupii,Fishes_Node2578,2.12E-10,6.37E-09,0.03,30.85,24.48,36.67,4.00,Marine,1416.0,26.7,4.3,120000.0,NA,FishBase,"Reproductive traits (Fecundity, egg diameter, parental care) of marine European fish",,
NC_013602.1,Ectotherms,Fishes,Actinopterygii,Anguilliformes,Moringuidae,Moringua_microchir,Fishes_Node2583,2.27E-10,6.50E-09,0.03,21.74,21.74,8.14,28.59,Marine,133.4,28.1,2.7,21304.8,NA,FishBase,,,
NC_013622.1,Ectotherms,Fishes,Actinopterygii,Anguilliformes,Moringuidae,Moringua_edwardsi,Fishes_Node2583,1.58E-10,8.57E-09,0.02,21.74,21.74,18.82,26.98,Marine,4.1,30.2,1.3,2143.3,NA,FishBase,,,
NC_013609.1,Ectotherms,Fishes,Actinopterygii,Anguilliformes,Cyematidae,Cyema_atrum,Fishes_Node2584,3.18E-10,4.51E-09,0.07,79.87,79.87,29.35,4.00,Marine,180.0,27.9,2.8,24127.6,NA,FishBase,,,
AB046473.2,Ectotherms,Fishes,Actinopterygii,Anguilliformes,Eurypharyngidae,Eurypharynx_pelecanoides,Fishes_Node2584,2.82E-10,4.53E-09,0.06,79.87,64.51,55.65,4.00,Marine,580.0,26.7,2.0,256.0,NA,FishBase,Reproduction in the North Atlantic oceanic ichthyofauna and the relationship between fecundity and species' sizes,https://prezi.com/aosi9p4n9hot/gulper-pelican-eel/,
AB047825.1,Ectotherms,Fishes,Actinopterygii,Anguilliformes,Saccopharyngidae,Saccopharynx_lavenbergi,Fishes_Node2584,4.63E-10,7.36E-09,0.06,79.87,64.51,23.76,4.00,Marine,5649.0,27.1,3.7,59001.1,NA,FishBase,,,
NC_013627.1,Ectotherms,Fishes,Actinopterygii,Anguilliformes,Serrivomeridae,Serrivomer_beanii,Fishes_Node2588,2.09E-10,4.67E-09,0.04,16.73,16.73,20.04,4.00,Marine,628.7,27.1,3.7,59001.1,NA,FishBase,,,
NC_013628.2,Ectotherms,Fishes,Actinopterygii,Anguilliformes,Serrivomeridae,Stemonidium_hypomelas,Fishes_Node2588,2.75E-10,9.80E-09,0.03,16.73,13.25,26.86,4.00,Marine,13.1,29.5,1.6,14000.0,NA,FishBase,https://www.wikiwand.com/en/Stemonidium,,
AP007250.1,Ectotherms,Fishes,Actinopterygii,Anguilliformes,Serrivomeridae,Serrivomer_sector,Fishes_Node2588,9.24E-11,4.94E-09,0.02,16.73,13.25,21.66,4.00,Marine,443.4,27.2,3.6,55998.4,NA,FishBase,,,
NC_013626.2,Ectotherms,Fishes,Actinopterygii,Anguilliformes,Nemichthyidae,Labichthys_carinatus,Fishes_Node2591,2.38E-10,7.97E-09,0.03,2.92,2.92,15.62,4.00,Marine,679.3,27.1,3.8,62082.7,NA,FishBase,,,
NC_013624.2,Ectotherms,Fishes,Actinopterygii,Anguilliformes,Nemichthyidae,Avocettina_infans,Fishes_Node2591,1.92E-10,2.56E-09,0.07,2.92,2.92,21.48,4.00,Marine,679.3,27.1,3.8,62082.7,NA,FishBase,,,
AP007238.1,Ectotherms,Fishes,Actinopterygii,Anguilliformes,Anguillidae,Anguilla_malgumora,Fishes_Node2592,1.66E-10,7.96E-09,0.02,9.77,9.77,25.80,20.00,Marine&Freshwater,831.9,40.0,3.8,62082.7,NA,FishBase,,,AnAge
AP007244.1,Ectotherms,Fishes,Actinopterygii,Anguilliformes,Anguillidae,Anguilla_mossambica,Fishes_Node2592,1.66E-10,1.17E-08,0.01,9.77,7.81,16.25,25.35,Marine&Freshwater,10762.8,20.0,5.6,219754.5,NA,FishBase,,,FishBase
AP007249.2,Ectotherms,Fishes,Actinopterygii,Anguilliformes,Anguillidae,Anguilla_rostrata,Fishes_Node2592,2.61E-10,1.33E-08,0.02,9.77,1.71,29.06,16.47,Marine&Freshwater,7511.5,50.0,5.4,6373333.0,NA,FishBase,FishBase,FishBase,FishBase
KJ564221.1,Ectotherms,Fishes,Actinopterygii,Anguilliformes,Anguillidae,Anguilla_anguilla,Fishes_Node2592,2.38E-10,1.53E-08,0.02,9.77,1.71,46.01,9.28,Marine&Freshwater,3419.2,88.0,8.8,10000000.0,NA,FishBase,Relationships between genetic variability and life_history features of bony fishes,FishBase,AnAge
AP007234.1,Ectotherms,Fishes,Actinopterygii,Anguilliformes,Anguillidae,Anguilla_australis_australis,Fishes_Node2592,1.33E-10,1.30E-08,0.01,9.77,4.77,35.64,9.29,Marine&Freshwater,3967.6,32.0,9.0,5000000.0,NA,FishBase,FishBase,FishBase,FishBase
AP007240.1,Ectotherms,Fishes,Actinopterygii,Anguilliformes,Anguillidae,Anguilla_dieffenbachii,Fishes_Node2592,2.30E-10,8.01E-09,0.03,9.77,4.77,41.13,13.46,Marine&Freshwater,20216.3,60.0,25.4,335033.1,NA,FishBase,,FishBase,Wikipedia
AP007248.1,Ectotherms,Fishes,Actinopterygii,Anguilliformes,Anguillidae,Anguilla_reinhardtii,Fishes_Node2592,1.60E-10,9.30E-09,0.02,9.77,5.98,29.26,11.83,Marine&Freshwater,22000.0,41.0,9.0,5000000.0,NA,FishBase,FishBase,FishBase,FishBase
KT355033.1,Ectotherms,Fishes,Actinopterygii,Anguilliformes,Anguillidae,Anguilla_japonica,Fishes_Node2592,2.22E-10,1.03E-08,0.02,9.77,5.42,28.38,17.73,Marine&Freshwater,6329.7,26.0,5.0,700000.0,NA,FishBase,The Fishes of Qinling,https://kokushi.fra.go.jp/R01/R01_77_ELJ_English.pdf,
AP007243.1,Ectotherms,Fishes,Actinopterygii,Anguilliformes,Anguillidae,Anguilla_megastoma,Fishes_Node2592,3.30E-10,1.11E-08,0.03,9.77,3.96,13.25,14.41,Marine&Freshwater,1662.7,26.7,4.3,97239.5,NA,FishBase,,,
AP007239.1,Ectotherms,Fishes,Actinopterygii,Anguilliformes,Anguillidae,Anguilla_celebesensis,Fishes_Node2592,2.24E-10,1.04E-08,0.02,9.77,3.96,6.89,27.28,Marine&Freshwater,6012.1,26.0,5.0,219754.5,NA,FishBase,,"Age and growth of migrating tropical eels, Anguilla celebesensis and Anguilla marmorata",
AP007242.1,Ectotherms,Fishes,Actinopterygii,Anguilliformes,Anguillidae,Anguilla_marmorata,Fishes_Node2592,3.19E-10,8.55E-09,0.04,9.77,3.95,10.97,23.88,Marine&Freshwater,313.3,40.0,3.4,47463.2,NA,FishBase,,,FishBase
AP007247.1,Ectotherms,Fishes,Actinopterygii,Anguilliformes,Anguillidae,Anguilla_obscura,Fishes_Node2592,1.59E-10,1.31E-08,0.01,9.77,2.54,14.42,14.41,Marine&Freshwater,1691.4,26.5,4.6,117781.7,NA,FishBase,,,
AP007236.1,Ectotherms,Fishes,Actinopterygii,Anguilliformes,Anguillidae,Anguilla_bicolor_bicolor,Fishes_Node2592,2.33E-10,1.93E-08,0.01,9.77,2.54,9.92,27.06,Marine&Freshwater,3204.9,20.0,5.5,4960000.0,NA,FishBase,"Fecundity of the tropical catadromous eels Anguilla bicolor bicolor, A. bengalensis bengalensis and A. marmorata","Ages at maturation of tropical freshwater eels, Anguilla bicolor bicolor and A. bengalensis bengalensis",FishBase
AP007245.1,Ectotherms,Fishes,Actinopterygii,Anguilliformes,Anguillidae,Anguilla_bengalensis_labiata,Fishes_Node2592,3.29E-10,1.21E-08,0.03,9.77,3.06,11.43,27.13,Marine&Freshwater,6000.0,25.5,6.5,1720000.0,NA,FishBase,"Fecundity of the tropical catadromous eels Anguilla bicolor bicolor, A. bengalensis bengalensis and A. marmorata","Ages at maturation of tropical freshwater eels, Anguilla bicolor bicolor and A. bengalensis bengalensis",
AB469437.1,Ectotherms,Fishes,Actinopterygii,Anguilliformes,Anguillidae,Anguilla_luzonensis,Fishes_Node2592,3.00E-10,9.71E-09,0.03,9.77,2.72,14.96,26.36,Marine&Freshwater,1662.7,26.7,4.3,97239.5,NA,FishBase,,,
AP007241.1,Ectotherms,Fishes,Actinopterygii,Anguilliformes,Anguillidae,Anguilla_interioris,Fishes_Node2592,1.85E-10,9.56E-09,0.02,9.77,2.72,2.99,26.62,Marine&Freshwater,819.6,27.1,3.8,62082.7,NA,FishBase,,,
NC_013633.1,Ectotherms,Fishes,Actinopterygii,Anguilliformes,Chlopsidae,Robinsia_catherinae,Fishes_Node2608,1.58E-10,5.50E-09,0.03,85.74,43.94,17.39,25.86,Marine,9.5,29.7,1.5,3745.7,NA,FishBase,,,
NC_013607.1,Ectotherms,Fishes,Actinopterygii,Anguilliformes,Chlopsidae,Kaupichthys_hyoproroides,Fishes_Node2608,2.85E-10,7.99E-09,0.04,85.74,43.94,13.10,27.99,Marine,33.8,28.9,2.0,8637.9,NA,FishBase,,,
NC_013601.1,Ectotherms,Fishes,Actinopterygii,Anguilliformes,Heterenchelyidae,Pythonichthys_microphthalmus,Fishes_Node2608,1.63E-10,6.06E-09,0.03,85.74,67.40,6.77,26.58,Marine,166.2,27.9,2.8,24615.2,NA,FishBase,,,
NC_013631.1,Ectotherms,Fishes,Actinopterygii,Anguilliformes,Myrocongridae,Myroconger_compressus,Fishes_Node2608,1.88E-10,8.11E-09,0.02,85.74,53.64,10.01,24.98,Marine,201.7,27.8,2.9,27956.6,NA,FishBase,,,
KP874183.1,Ectotherms,Fishes,Actinopterygii,Anguilliformes,Muraenidae,Scuticaria_tigrina,Fishes_Node2608,2.08E-10,1.10E-08,0.02,85.74,45.29,10.28,28.28,Marine,1205.8,26.1,5.4,191287.2,NA,FishBase,,,
KP793920.1,Ectotherms,Fishes,Actinopterygii,Anguilliformes,Muraenidae,Gymnomuraena_zebra,Fishes_Node2608,1.79E-10,1.08E-08,0.02,85.74,35.43,11.19,28.09,Marine,7604.5,20.0,5.6,10000.0,NA,FishBase,https://kidszoo.org/our-animals/zebra-moray-eel/,,https://animal-world.com/encyclo/marine/eels/zebramoray.php
KP874184.1,Ectotherms,Fishes,Actinopterygii,Anguilliformes,Muraenidae,Gymnothorax_formosus,Fishes_Node2608,1.83E-10,9.35E-09,0.02,85.74,23.29,8.07,28.60,Marine,1742.8,26.7,4.3,97239.5,NA,FishBase,,,
